IMDB Title,Release Year,averageRating,numVotes,plot,genres,country,Similarity Score
Clay Pigeon,1971,5.1,119,An exsoldier is recruited by the FBI to go undercover in L.A. and find other exsoldiers who are part of a drugdealing gang.,"Action,Drama",USA,0.903186916575737
Raw Deal,1986,5.6,31207,A former FBI agent turned small town sheriff agrees to help the FBI chief infiltrate the Chicago mafia when the FBI chief's son is killed by the Chicago Mafia.,"Action,Crime,Thriller","USA, Netherlands",0.8988186982728049
A Walk Among the Tombstones,2014,6.5,113383,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,"Action,Crime,Drama",USA,0.897465086324283
Johnny Stool Pigeon,1949,6.7,405,US Treasury agent George Morton persuades convicted criminal Johnny Evans to help him destroy a drug smuggling ring in exchange for early parole.,"Crime,Drama,Film-Noir",USA,0.8972600274203616
Another 48 Hrs.,1990,5.9,39084,"Jack Cates once again enlists the aid of excon Reggie Hammondthis time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area.","Action,Comedy,Crime",USA,0.8962180244428569
Universal Soldier II: Brothers in Arms,1998,3.0,1631,"The Universal Soldiers are used to smuggle diamonds for a CIA Director, but Luc Deveroux continues to cause him problems.","Action,Sci-Fi",Canada,0.8918189186444041
St. Ives,1976,6.3,2024,"Abner Procane, top L.A. burglar, finds that somebody stole his plans for next ambitious heist. He hires Raymond St. Ives, crime books writer, to negotiate the return of those documents.","Action,Crime,Drama",USA,0.8916660828108626
Top Dog,1995,4.3,3188,"With his cop companion shot and killed by terrorists, Reno The Dog pairs up with tough cop Jake in thwarting the criminal organization.","Action,Comedy,Crime",USA,0.8913741931717234
The Italian Job,2003,7.0,344390,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.","Action,Crime,Thriller","USA, France, UK",0.8904424830672114
Breach,2007,7.0,58101,"FBI upstart Eric O'Neill enters into a power game with his boss, Robert Hanssen, an agent who was put on trial for selling secrets to the Soviet Union.","Biography,Crime,Drama",USA,0.8903329028655683
McQ,1974,6.3,4760,Police Lieutenant Lon McQ investigates the killing of his best friend and uncovers corrupt elements of the police department dealing in confiscated drugs.,"Action,Crime,Drama",USA,0.8902708160225824
American Gangster,2007,7.8,395939,"In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.","Biography,Crime,Drama","USA, UK",0.8893137983962376
Death Wish 4: The Crackdown,1987,5.5,8957,Architectvigilante Paul Kersey takes on the members of a vicious Los Angeles drug cartel to stop the flow of drugs after his girlfriend's daughter dies from an overdose.,"Action,Crime,Drama",USA,0.8890631269459749
The Killer Elite,1975,6.0,5687,"Mike Locke, who works for a private security firm affiliated with the CIA, is betrayed by his partner and left apparently crippled for life.","Action,Crime,Thriller",USA,0.889039279404665
Mr. Moto in Danger Island,1939,6.9,675,the U.S. government asks Mr. Moto to go to Puerto Rico to investigate diamond smuggling after an earlier investigator is murdered.,"Crime,Drama,Mystery",USA,0.888763006798464
